abis | habis
aer | air
aja | saja
aje | saja
aktifitas | aktivitas
bapak | pak
bpk | pak
bgini | begini
bgt | banget
bkn | bukan
belom | belum
blom | belum
blm | belum
bener | benar
bnr | benar
bbrp | beberapa
brp | berapa
brpa | berapa
berpa | berapa
bs | bisa
bth | butuh
call center | telepon
cat | catatan
cm | cuma
dg | dengan
dh | sudah
dimatiin | mati
dinyalain | nyala
ditelfon | telepon
ditelpon | telepon
dn | dan
dpt | dapat
dpat | dapat
donk | dong
dr | dari
dri | dari
dtg | datang
engga | tidak
fast | cepat
ga | tidak
gada | tidak ada
gak | tidak
gk | tidak
gg | gang
gmn | bagaimana
gimana | bagaimana
gimane | bagaimana
gin | gini
hi | halo
hai | halo
hei | halo
hallo | halo
hello | halo
hr | hari
hrs | harus
ii | 2
iii | 3
iv | 4
iya | ya
jd | jadi
jg | juga
jga | juga
jua | juga
jgn | jangan
jl | jalan
jln | jalan
jkt | jakarta
jakarta pusat | jakpus
jakarta barat | jakbar
jakarta selatan | jaksel
jakarta timur | jaktim
jakarta utara | jakut
jm | jam
ka | kakak
kak | kakak
kaga | tidak
kagak | tidak
kalo | kalau
klo | kalau
keb | kebayoran
kec | kecamatan
kel | kelurahan
ksh | kasih
kmaren | kemaren
knp | kenapa
kenapaaa | kenapa
konstruksi | galian
ko | kok
koq | kok
kpd | kepada
kpn | kapan
krn | karena
kyknya | kayaknya
lamban | lambat
lbh | lebih
lg | lagi
lho | loh
lu | lo
maap | maaf
malem | malam
mlm | malam
matiin | mati
matikan | mati
met | selamat
mgkn | mungkin
mngkn | mungkin
mhn | mohon
min | admin
min | admin
mimin | admin
makasih | terimakasih
merespon | respon
mksh | terimakasih
moshollah | mushola
msh | masih
msk | masuk
mt | mati
nelp | telepon
nelpon | telepon
ngehubungin | telepon
ngak | tidak
ngga | tidak
nggak | tidak
ni | ini
nich | ini
nmr | nomor
no | nomor
nunggu | menunggu
nyalain | nyala
nyalaa | nyala
nyalaaa | nyala
okay | ok
okaay | ok
oke | ok
or | atau
org | orang
padamin | padam
pemadaman | padam
pd | pada
pda | pada
pdhal | padahal
pdhl | padahal
perlayanannya | pelayanan
pingin | pengen
pk | pukul
pkl | pukul
pls | mohon
plis | mohon
please | mohon
rewel | bawel
rmh | rumah
rsk | rusak
sblmnya | sebelumnya
sdh | sudah
sebrang | seberang
setrong | kuat
sgni | segini
sja | saja
sjmlah | sejumlah
skg | sekarang
skr | sekarang
skrg | sekarang
skrng | sekarang
sklh | sekolah
sampe | sampai
smpe | sampai
smp | sampai
sm | sama
sma | sama
spt | seperti
stgh | setengah
stngh | setengah
stngah | setengah
sy | saya
sya | saya
tanggapan | respon
td | tadi
tdk | tidak
tdur | tidur
tlg | tolong
tlng | tolong
tel | telepon
telf | telepon
telefon | telepon
telp | telepon
telpon | telepon
tlfn | telepon
tlong | tolong
tiang | kabel
trima | terima
thx | terimakasih
thankyou | terimakasih
thank you | terimakasih
thanks | terimakasih
tks | terimakasih
trmksh | terimakasih
trims | terimakasih
tq | terimakasih
terima kasih | terimakasih
tuh | itu
tp | tapi
tmpt | tempat
trs | terus
trus | terus
trdmpk | terdampak
tsb | tersebut
ttp | tetap
tuk | untuk
ud | sudah
uda | sudah
udah | sudah
udh | sudah
ujan | hujan
utk | untuk
visit | datang
wkt | waktu
woy | woi
y | ya
yak | ya
yg | yang
